sent_id,sent,word_num,un_id,lemma,pos_tag,sense_key,sense_number,hom_type
d062.s035,askington was a kind of goal i set myself i had admired him long before i talked to him,7,semcor.d062.s035.t004,set,VERB,set%2:32:01::,set#v#2,100
d062.s037,the night we first met at one of mrs. monmouth &apos;s giant parties he was wearing a brown cashmere jacket with silver buttons and a soft pink viyella shirt instead of a necktie he wore a leather bolo drawn through a golden ring in which was set a lump of pale pure jade,45,semcor.d062.s037.t024,set,VERB,set%2:35:02::,set#v#2,100
d062.s038,this set his tone richness of texture and color and another kind of richness as well for his clothing and decorations would have paid the brush-off &apos;s rent for a year,1,semcor.d062.s038.t000,set,VERB,set%2:31:04::,set#v#2,100
d073.s015,the act further provides for a floor &apos;&apos; or minimum allotment set at the 1954 level which is called the base &apos;&apos; allotment and a ceiling &apos;&apos; or maximum allotment for each state,11,semcor.d073.s015.t005,set,VERB,set%2:31:04::,set#v#2,100
d076.s116,the legation was generously set back from the building line if the angle of fire were too great the jutting buildings on either side would interfere,4,semcor.d076.s116.t002,set,VERB,set%2:35:00::,set#v#2,100
d078.s089,the work had its beginning in 1938 with an eight bar musical strain to which koehler set the words there &apos;ll be no more work there &apos;ll be no more worry &apos;&apos; matching the spiritual feeling of the jot,16,semcor.d078.s089.t007,set,VERB,set%2:36:00::,set#v#2,100
d084.s081,the bodice beneath was buttoned and withdrawing his lips from hers he set her upright on his knee and started to undo it unhurriedly as if she were a child,12,semcor.d084.s081.t005,set,VERB,set%2:35:00::,set#v#2,100
d088.s004,these areas by virtue of their abrupt density of pattern stated the literal surface with such new and superior force that the resulting contrast drove the simulated printing into a depth from which it could be rescued and set to shuttling again only by conventional perspective that is by being placed in such relation to the forms depicted within the illusion that these forms left no room for the typography except near the surface,38,semcor.d088.s004.t016,set,VERB,set%2:30:01::,set#v#2,100
d123.s004,it appears possible to set a lower limit of about f for the activation energy of the abstraction of a chlorine atom from a carbon tetrachloride molecule by a chlorine atom to form f radical,4,semcor.d123.s004.t002,set,VERB,set%2:32:00::,set#v#2,100
d126.s040,the rangy albany cal. native a surprise slugging sensation for the flock last year as well as a defensive whiz set improved fielding &apos;&apos; as his 1961 goal,19,semcor.d126.s040.t013,set,VERB,set%2:31:04::,set#v#2,100
d126.s067,george kerr the swift striding jamaican set a meet record in the 600 yard run in the knights of columbus track meet tonight beating purdue &apos;s dave mills in a hot duel in 1.10.1,5,semcor.d126.s067.t003,set,VERB,set%2:32:01::,set#v#2,100
d126.s068,kerr who set the world record earlier this month in new york with a clocking of 1.09.3 wiped out mills &apos;s early pace and beat the young big 10 quarter-mile king by 5 yards,2,semcor.d126.s068.t001,set,VERB,set%2:32:01::,set#v#2,100
d126.s069,both were under the meet mark of 1.10.8 set in 1950 by mal whitfield,8,semcor.d126.s069.t003,set,VERB,set%2:32:01::,set#v#2,100
d126.s075,she snapped five tenths of a second off the mark set by helen shipley of wellsley college in the national a.a.u. meet in columbus ohio,10,semcor.d126.s075.t005,set,VERB,set%2:32:01::,set#v#2,100
d132.s054,but he set a bound to his state of sin by interposing death and thus causing sin to cease putting an end to it by the dissolution of the flesh which should take place in the earth so that man ceasing at length to live in sin and dying to it might live to god &apos;&apos;,2,semcor.d132.s054.t000,set,VERB,set%2:31:04::,set#v#2,100
d135.s000,pueri aquam de silvas ad agricolas portant a delightful vignette set in the unforgettable epoch of pre punic war rome,4,semcor.d135.s000.t003,set,VERB,set%2:36:01::,set#v#2,100
d135.s044,a biting pithy parable of the all pervading hollowness of modern life the piece has been set by mlle lagoon to a sumptuous score a single motif played over and over by four thousand french horns by existentialist hot-shot jean-paul sartre,16,semcor.d135.s044.t008,set,VERB,set%2:36:00::,set#v#2,100
d136.s002,when sufficiently accurate and complete measurements are available it will be possible to set limits on the thermal and electrical characteristics of the surface and subsurface materials of the moon,13,semcor.d136.s002.t007,set,VERB,set%2:31:04::,set#v#2,100
d137.s047,the west texan reported that he had finally gotten chairman bill hollowell of the committee to set it for public hearing on feb. 22,13,semcor.d137.s047.t005,set,VERB,set%2:31:04::,set#v#2,100
d140.s091,as kate came swiftly down the stairs to the hall she saw colonel marsh framed in the doorway his face set in the same vulnerable look juanita wore,18,semcor.d140.s091.t010,set,VERB,set%2:30:01::,set#v#2,100
d141.s073,winston apologized and quickly set the hat right,4,semcor.d141.s073.t003,set,VERB,set%2:35:00::,set#v#2,100
d147.s030,when they have 4 to 6 leaves and are thrifty little plants it &apos;s time to set them out where they are to remain,16,semcor.d147.s030.t010,set,VERB,set%2:35:09::,set#v#2,100
d147.s039,one year i simply set the plants in the remains of a compost pile to which a little sand had been added and i had the most beautiful pansies in my or any of my neighbors &apos; experience,4,semcor.d147.s039.t003,set,VERB,set%2:35:09::,set#v#2,100
d147.s056,that cold frame was my morale builder its mass of bright bloom set in a border of snow made my spirits rise every time i looked at it,10,semcor.d147.s056.t006,set,VERB,set%2:35:02::,set#v#2,100
d157.s017,j. wheaton smith editor of the warren telegraph stated that the ends of justice must be satisfied a solitary example must be set in order that all those misnamed philantropists sic who actuated by a blind zeal dare to instigate riot treason and murder may heed it and shape their future course accordingly &apos;&apos;,19,semcor.d157.s017.t008,set,VERB,set%2:31:04::,set#v#2,100
d158.s079,in a sense the showdown promised by mr. hammarskjold &apos;s sudden and tragic death has been avoided no precedents have been set as yet structurally the u.n. is still fluid vulnerable to the pressures that its new and enlarged membership are bringing to bear upon it,20,semcor.d158.s079.t008,set,VERB,set%2:31:04::,set#v#2,100
d159.s029,the plants along route 128 are mostly well designed and nicely set against the new england rocks and trees,10,semcor.d159.s029.t005,set,VERB,set%2:35:00::,set#v#2,100
d161.s050,i set the hour of our meeting for seven,1,semcor.d161.s050.t000,set,VERB,set%2:32:00::,set#v#2,100
d164.s046,she filled a big pitcher and set it with glasses on a tray,6,semcor.d164.s046.t003,set,VERB,set%2:35:00::,set#v#2,100
d171.s047,they set bouncing betties to jump and explode at testicle level while we more mercifully had them go off at the head,1,semcor.d171.s047.t000,set,VERB,set%2:30:02::,set#v#2,100
d173.s001,the wife amra and her lover are both savagely portrayed she as incarnate sensuality voluptuous &apos;&apos; and indolent &apos;&apos; possibly a mischief maker &apos;&apos; with a kind of luxurious cunning &apos;&apos; to set against her apparent simplicity her bird like brain &apos;&apos;,32,semcor.d173.s001.t014,set,VERB,set%2:30:01::,set#v#2,100
d185.s068,this team set a precedent that could be valuable in the future &apos;&apos; benington pointed out,2,semcor.d185.s068.t001,set,VERB,set%2:32:01::,set#v#2,100
d196.s024,open societies can take many forms and within very broad limits recipients must be free to set their own goals and to devise their own institutions to achieve those goals,16,semcor.d196.s024.t002,set,VERB,set%2:31:04::,set#v#2,100
d196.s071,the extent to which we can persuade the less developed countries to appraise their own resources to set targets toward which they should be working to establish in the light of this forward perspective the most urgent priorities for their immediate attention and to do the other things which they must do to help themselves all on a realistic long-term basis will depend importantly on the incentives we place before them,17,semcor.d196.s071.t002,set,VERB,set%2:31:04::,set#v#2,100
d199.s042,the fixed window panels with louvers should have a good grade of 1 8 inch double-strength glass set in a mastic glazing compound,17,semcor.d199.s042.t001,set,VERB,set%2:35:02::,set#v#2,100
d199.s093,the depth gauge rod can now be set and any number of holes bored to exact and identical depth,7,semcor.d199.s093.t000,set,VERB,set%2:30:02::,set#v#2,100
d201.s093,the only factors that are personally set by the choreographer are the movements themselves the number of the dancers and the approximate total duration of the dance,6,semcor.d201.s093.t000,set,VERB,set%2:31:04::,set#v#2,100
d202.s027,by fixing the tax rate in advance of spending upper limits are set on expenditures,12,semcor.d202.s027.t001,set,VERB,set%2:32:00::,set#v#2,100
d204.s064,trim excess clay from around lip of mold and set aside while assembling lid,9,semcor.d204.s064.t001,set,VERB,set%2:35:00::,set#v#2,100
d207.s026,the letters set a nov. 15 deadline for the start of negotiations,2,semcor.d207.s026.t000,set,VERB,set%2:32:00::,set#v#2,100
d207.s066,a hearing was set for 8 30 a. m. tuesday,3,semcor.d207.s066.t000,set,VERB,set%2:32:00::,set#v#2,100
d214.s046,a preview party for sponsors of the event and for the artists is set for april 8,13,semcor.d214.s046.t000,set,VERB,set%2:32:00::,set#v#2,100
d223.s004,a plume of smoke rose from a central vermont locomotive which idled behind a string of gravel cars and little figures that were workmen labored to set the ruptured roadbed to rights,26,semcor.d223.s004.t004,set,VERB,set%2:30:01::,set#v#2,100
d223.s068,concord learned to set its clocks by the rackety bark of the whirlwind &apos;s exhaust overhead,3,semcor.d223.s068.t001,set,VERB,set%2:30:02::,set#v#2,100
d236.s057,the pocket-size &apos;&apos; company set records with 2170 in sales of its products a selection of barbecue spices and paid stockholders a 20 per cent dividend on their investment,4,semcor.d236.s057.t000,set,VERB,set%2:32:01::,set#v#2,100
d242.s005,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 21 st day of april in the year of our lord one thousand nine hundred and sixty-one and on independence the one hundred and eighty-fifth,6,semcor.d242.s005.t000,set,VERB,set%2:35:00::,set#v#2,100
d242.s015,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 17 th day of may in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s015.t000,set,VERB,set%2:35:00::,set#v#2,100
d242.s023,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 20 th day of april in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-fifth,6,semcor.d242.s023.t000,set,VERB,set%2:35:00::,set#v#2,100
d242.s032,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 11 th day of june in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s032.t000,set,VERB,set%2:35:00::,set#v#2,100
d242.s039,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 5 th day of july in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s039.t000,set,VERB,set%2:35:00::,set#v#2,100
d242.s049,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 23 d day of october in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s049.t000,set,VERB,set%2:31:04::,set#v#2,100
d242.s064,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 21 st day of november in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s064.t000,set,VERB,set%2:35:00::,set#v#2,100
d243.s124,geely grunted and slid partly out and shayne &apos;s left arm snaked in around his neck to help him while he set himself solidly on the roadway and swung his right fist to the big gum-chewing jaw before geely could straighten up,21,semcor.d243.s124.t004,set,VERB,set%2:35:00::,set#v#2,100
d251.s041,the joints are also reinforced on each side with small blocks set in resin-saturated fiberglas cloth and nailed,11,semcor.d251.s041.t001,set,VERB,set%2:35:02::,set#v#2,100
d251.s103,i set it on the gator trailer,1,semcor.d251.s103.t000,set,VERB,set%2:35:00::,set#v#2,100
d251.s106,again these blocks were set in resin-saturated glass cloth and nailed,4,semcor.d251.s106.t000,set,VERB,set%2:35:02::,set#v#2,100
d254.s044,physiologically people overeat because what dr. jolliffe calls the appestat &apos;&apos; is set too high,12,semcor.d254.s044.t002,set,VERB,set%2:30:02::,set#v#2,100
d257.s028,hubie &apos;s restaurant activities up in lorain ohio may preclude his return here until after oct. 20 date set for reopening the heilman restaurant on sunman restaurant on sunrise,18,semcor.d257.s028.t001,set,VERB,set%2:31:04::,set#v#2,100
d257.s032,mackey airline &apos;s new sunshine inn at bimini set to open some time this month according to hank johnson,8,semcor.d257.s032.t000,set,VERB,set%2:32:00::,set#v#2,100
d257.s076,when you stand up in public and take vows to strive to set an example before your children and to teach them the fundamentals of the christian faith you strive a little harder to uphold those vows &apos;&apos; explains the slender vice president of the young couples sunday school class,11,semcor.d257.s076.t003,set,VERB,set%2:32:01::,set#v#2,100
d261.s012,that objective set the high stakes and drama of the vienna meeting,2,semcor.d261.s012.t000,set,VERB,set%2:30:01::,set#v#2,100
d261.s025,the president had set for himself the task which he believed vital of awakening the u. s. and its allies to the hard and complex effort necessary to shift that balance,3,semcor.d261.s025.t000,set,VERB,set%2:31:04::,set#v#2,100
d266.s010,on the negative side of the balance sheet must be set some disappointment that the united states leadership has not been as much in evidence as hoped for,10,semcor.d266.s010.t000,set,VERB,set%2:35:00::,set#v#2,100
d275.s004,authenticated pieces of duncan phyfe furniture are uncommon although millions of american homes today display pieces patterned after the style trends he set 150 years ago,22,semcor.d275.s004.t003,set,VERB,set%2:31:04::,set#v#2,100
d289.s092,by-passing the military junta which has ruled turkey since the overthrow of premier adnan menderes 17 months ago the army general staff led by gen. cedvet sunay had set a deadline for the parties to join in a national coalition government,28,semcor.d289.s092.t003,set,VERB,set%2:32:00::,set#v#2,100
d290.s061,this french film set in italy is a summertime splurge in shock and terror all shot in lovely sunny scenery so breath-taking that at times you almost forget the horrors the movie is dealing with,3,semcor.d290.s061.t000,set,VERB,set%2:36:01::,set#v#2,100
d308.s008,that mistake she thought had cost her dearly these past few days and she wanted to avoid falling into any more of the traps that the mountain might set for her,28,semcor.d308.s008.t005,set,VERB,set%2:30:09::,set#v#2,100
d310.s028,thus in the immemorial way in the way of the right hand that knows and the left that does not was the stage set for tragedy at bari,23,semcor.d310.s028.t001,set,VERB,set%2:30:09::,set#v#2,100
d312.s053,recounting personal observations of clearance work the councilman cited instances of inefficient use of equipment or supplies by poorly trained workers and urged that plow blades be set so they do not leave behind a thin layer of snow which eventually freezes,27,semcor.d312.s053.t004,set,VERB,set%2:30:02::,set#v#2,100
d313.s015,circuit judge paul r. cash did not set a date for sentencing,7,semcor.d313.s015.t000,set,VERB,set%2:32:00::,set#v#2,100
d313.s040,houghton said 6 p. m. friday had been set for a canvass of all 480 homes in the subdivision which is located northeast of dequindre and 14 mile road east,8,semcor.d313.s040.t001,set,VERB,set%2:32:00::,set#v#2,100
d316.s002,the statement also points to a classic paradox the more men turn toward god who is not only in himself the paradigm of all unity but also the only ground on which human unity can ultimately be established the more men splinter into groups and set themselves apart from one another,45,semcor.d316.s002.t005,set,VERB,set%2:35:00::,set#v#2,100
d316.s018,yet the fact remains that such institutions do set men at odds with their fellows,8,semcor.d316.s018.t001,set,VERB,set%2:30:01::,set#v#2,100
d319.s097,they both possess near classic stances dug in firmly arms high set for fierce swings,11,semcor.d319.s097.t001,set,VERB,set%2:35:00::,set#v#2,100
d328.s098,the way a house is set on its lot can therefore influence how much cooling you &apos;re going to need,5,semcor.d328.s098.t000,set,VERB,set%2:35:00::,set#v#2,100
d333.s119,henrietta looked down at her bouquet still lively with its color and scent and set her feet on their journey &apos;s way again leaving the village street and crossing the first field folly dancing ahead of her,14,semcor.d333.s119.t001,set,VERB,set%2:30:01::,set#v#2,100
d335.s029,this was a man of incredible criminality of a criminality effectively without limits a man apparently foreign to the very experience of love without mercy or pity a man in whose entourage none was ever safe a man whose hand was set against all that could not be useful to him at the moment a man who was most dangerous of all to those who were his closest collaborators in crime &apos;&apos;,41,semcor.d335.s029.t002,set,VERB,set%2:35:00::,set#v#2,100
d335.s065,rouben ter-arutunian in his stage settings often uses the scrim curtain behind which mr. cole has placed couples or groups who sing and set the mood for the scenes which are to follow,23,semcor.d335.s065.t003,set,VERB,set%2:30:09::,set#v#2,100
d336.s103,morgan filled the fire box with wood again then started supper and set the table,12,semcor.d336.s103.t002,set,VERB,set%2:30:09::,set#v#2,100
d340.s082,he set roberts &apos; suitcase near the front door went outside and walked back to the garage,1,semcor.d340.s082.t000,set,VERB,set%2:35:00::,set#v#2,100
d341.s007,we the subscribers do agree that as soon as a convenient number of persons have subscribed to this or a similar writing we will present a petition to the hon &apos; ble general court of the commonwealth of massachusetts praying for an act incorporating into a body politic the subscribers to such writing with liberty to build such a bridge and a right to demand a toll equal to that received at malden bridge and on like terms and if such an act shall be obtained then we severally agree each with the others that we will hold in the said bridge the several shares set against our respective names the whole into two hundred shares being divided and that we will pay such sums of money at such times and in such manners as by the said proposed corporation shall be directed and required &apos;&apos;,105,semcor.d341.s007.t011,set,VERB,set%2:35:00::,set#v#2,100
d342.s033,i believe it is an area in which professional planners have failed to set adequate guide posts and yet they cannot ignore this problem because it concerns the implementation of nearly all the planning programs they have devised,13,semcor.d342.s033.t003,set,VERB,set%2:31:04::,set#v#2,100
d345.s057,now to him who is able to preserve you without sin and to set you before the presence of his glory without blemish in gladness to the only god our savior through jesus christ our lord belong glory and majesty dominion and authority before all time and now and forever,13,semcor.d345.s057.t002,set,VERB,set%2:35:00::,set#v#2,100
d345.s126,god has already set the day when you will be in his hands,3,semcor.d345.s126.t000,set,VERB,set%2:31:04::,set#v#2,100
d348.s066,indeed it is in the field of transportation that congress has most frequently granted employers exemption from the anti-trust laws for example the organization of steamship conferences to set freight rates and the encouragement of railroads to seek mergers,28,semcor.d348.s066.t002,set,VERB,set%2:31:04::,set#v#2,100
d348.s067,at the very moment that every attempt is being made to take management out from under the irrationality of anti-trust legislation a drive is on to abolish collective bargaining under the guise of extending the anti-monopoly laws to unions who want no more than to continue to set wages in the same way that ship operators set freight rates,47,semcor.d348.s067.t007,set,VERB,set%2:31:04::,set#v#2,100
d348.s067,at the very moment that every attempt is being made to take management out from under the irrationality of anti-trust legislation a drive is on to abolish collective bargaining under the guise of extending the anti-monopoly laws to unions who want no more than to continue to set wages in the same way that ship operators set freight rates,56,semcor.d348.s067.t008,set,VERB,set%2:31:04::,set#v#2,100
d000.s017,when did you last compare your present premium costs with the costs of insurance from other sources,3,semcor.d000.s017.t000,last,ADV,last%4:02:00::,last#a#4,100
d008.s049,that &apos;s the last one we did,3,semcor.d008.s049.t000,last,ADV,last%4:02:00::,last#a#4,100
d079.s146,he looked at each of them in turn brannon last of all,8,semcor.d079.s146.t003,last,ADV,last%4:02:01::,last#a#4,100
d134.s029,it was only hours since i had last seen them but they had changed and i had changed,7,semcor.d134.s029.t002,last,ADV,last%4:02:00::,last#a#4,100
d155.s067,pelham pointed out that georgia voters last november rejected a constitutional amendment to allow legislators to vote on pay raises for future legislature sessions,5,semcor.d155.s067.t004,last,ADV,last%4:02:00::,last#a#4,100
d000.s023,are you carefully policing wash-up time and rest periods to be certain that all other time is productive,7,semcor.d000.s023.t004,rest,NOUN,rest%1:04:00::,rest#n#1,200
d002.s049,arnold lodley and michael perse were like the rest lukewarm ready to swing against hudson in a crisis,6,semcor.d002.s049.t003,rest,NOUN,rest%1:24:00::,rest#n#1,200
d003.s010,but there was no pressing need to maintain these same standards with regard to most of the rest of the world,17,semcor.d003.s010.t007,rest,NOUN,rest%1:24:00::,rest#n#1,200
d004.s042,this restless individualism found its answer when he returned to live nearly all the rest of his life in sweden,14,semcor.d004.s042.t007,rest,NOUN,rest%1:24:00::,rest#n#1,200
d025.s060,she was the sun he the closest planet orbiting around her the rest of the world existing and visible yet removed,12,semcor.d025.s060.t003,rest,NOUN,rest%1:24:00::,rest#n#1,200
d028.s023,he seems by some unconscious division of labor to have given them that one function and no other leaving communication to the rest of the face,22,semcor.d028.s023.t010,rest,NOUN,rest%1:24:00::,rest#n#1,200
d040.s019,the desk before him was in no better repair than the rest of the furniture crowded into the room including wooden file cabinets with some of their pulls yanked off and a wardrobe stained with the roof seepage of countless seasons,11,semcor.d040.s019.t005,rest,NOUN,rest%1:24:00::,rest#n#1,200
d041.s071,only one of the flight scored a direct hit and the rest blew up jungle,11,semcor.d041.s071.t005,rest,NOUN,rest%1:24:00::,rest#n#1,200
d057.s000,with this enlarged role in mind i should like to make a few suggestions what we in the united states do or do not do will make a very large difference in what happens in the rest of the world,34,semcor.d057.s000.t014,rest,NOUN,rest%1:24:00::,rest#n#1,200
d057.s006,it is also the concern of the department of state that our trading relationships with the rest of the world are vigorous profitable and active this is not just a passing interest or a matter of concern only to the department of commerce,14,semcor.d057.s006.t006,rest,NOUN,rest%1:24:00::,rest#n#1,200
d058.s063,the rest continues in a straight line,1,semcor.d058.s063.t000,rest,NOUN,rest%1:24:00::,rest#n#1,200
d058.s104,part of the family should be sleeping while the rest is awake,9,semcor.d058.s104.t003,rest,NOUN,rest%1:24:00::,rest#n#1,200
d073.s054,prior to and since 1960 the rest of the support allotment is matched at rates related to the fiscal capacity of the state with a pivot of 40 state or 60 federal participation in total program costs,6,semcor.d073.s054.t001,rest,NOUN,rest%1:24:00::,rest#n#1,200
d078.s044,when the troupe traveled to new york to participate in a one act play competition and won mercer instead of returning with the rest of the company in triumph remained in new york,21,semcor.d078.s044.t012,rest,NOUN,rest%1:24:00::,rest#n#1,200
d079.s003,the rest of the crew offsaddled their mounts and turned them into the remuda,1,semcor.d079.s003.t000,rest,NOUN,rest%1:24:00::,rest#n#1,200
d079.s113,the rest of you wait here &apos;&apos;,1,semcor.d079.s113.t000,rest,NOUN,rest%1:24:00::,rest#n#1,200
d087.s187,you get the rest when i&apos;m safely out of majdanek &apos;&apos;,3,semcor.d087.s187.t001,rest,NOUN,rest%1:24:00::,rest#n#1,200
d088.s020,in their very first collages braque and picasso draw or paint over and on the affixed paper or cloth so that certain of the principal features of their subjects as depicted seem to thrust out into real bas-relief space or to be about to do so while the rest of the subject remains imbedded in or flat upon the surface,47,semcor.d088.s020.t019,rest,NOUN,rest%1:24:00::,rest#n#1,200
d090.s072,in every war of the united states since the civil war the south was more belligerent than the rest of the country,16,semcor.d090.s072.t008,rest,NOUN,rest%1:24:00::,rest#n#1,200
d092.s075,the applicant pays the rest of the cost but his own time spent on the work and charges for the use of equipment which he owns may be applied toward his share of the cost,4,semcor.d092.s075.t002,rest,NOUN,rest%1:24:00::,rest#n#1,200
d096.s094,it serves merely as an excess cushion for the rest of the carcass,9,semcor.d096.s094.t004,rest,NOUN,rest%1:24:00::,rest#n#1,200
d099.s150,one more horrible than the rest lunged growling deep in his throat his hair bristling,5,semcor.d099.s150.t002,rest,NOUN,rest%1:24:00::,rest#n#1,200
d100.s065,it is not merely a new thing it is one of the very few new things in utopia most of the rest is medieval or humanist or part of an old tradition of social criticism,21,semcor.d100.s065.t010,rest,NOUN,rest%1:24:00::,rest#n#1,200
d103.s140,another body length or all the rest of his nighted life,5,semcor.d103.s140.t001,rest,NOUN,rest%1:24:00::,rest#n#1,200
d116.s077,what &apos;s the rest of your name &apos;&apos;,3,semcor.d116.s077.t000,rest,NOUN,rest%1:24:00::,rest#n#1,200
d116.s078,no rest of it,1,semcor.d116.s078.t000,rest,NOUN,rest%1:24:00::,rest#n#1,200
d121.s021,but you &apos;re wrong about the rest of it,6,semcor.d121.s021.t001,rest,NOUN,rest%1:24:00::,rest#n#1,200
d124.s072,hal saw in his mind the rest of earth iceland greenland the caribbean islands and the eastern half of south america,6,semcor.d124.s072.t003,rest,NOUN,rest%1:24:00::,rest#n#1,200
d124.s119,these members would then unthaw the rest of the personnel,6,semcor.d124.s119.t003,rest,NOUN,rest%1:24:00::,rest#n#1,200
d135.s034,we would have preferred however to have had the rest of the orchestra refrain from laughing at this and other spots on the recording since it mars an otherwise sober if not lofty performance,9,semcor.d135.s034.t002,rest,NOUN,rest%1:24:00::,rest#n#1,200
d140.s085,the week after manassas the sound of horses in the yard brought kate up in shock from an afternoon &apos;s rest when she saw the federal soldiers from her upstairs window,20,semcor.d140.s085.t009,rest,NOUN,rest%1:28:00::,rest#n#1,200
d145.s075,this region which had a higher temperature than the rest of the anode surface changed size and location continuously,9,semcor.d145.s075.t004,rest,NOUN,rest%1:24:00::,rest#n#1,200
d145.s081,the rest of the surface had a temperature which decreased towards the outer diameter of the plug,1,semcor.d145.s081.t000,rest,NOUN,rest%1:24:00::,rest#n#1,200
d147.s061,pick the flowers keep the soil dampened and each of the pegged-down branches will take root and become a little plant and go on blooming for the rest of the season,26,semcor.d147.s061.t013,rest,NOUN,rest%1:24:00::,rest#n#1,200
d149.s063,the rest of black bottom was a rabbit warren of homes in every condition of neglect disrepair and careful upkeep,1,semcor.d149.s063.t000,rest,NOUN,rest%1:24:00::,rest#n#1,200
d158.s053,the head was then fixed on a pole at westminster and the rest of the body was buried under the gallows,12,semcor.d158.s053.t005,rest,NOUN,rest%1:24:00::,rest#n#1,200
d161.s002,during the rest of the summer my scholarly mania for making plaster casts and spatter prints of catskill flowers and leaves was all but surpassed by the constantly renewed impressions of jessica that my mind served up to me for contemplation and delight,2,semcor.d161.s002.t000,rest,NOUN,rest%1:24:00::,rest#n#1,200
d164.s029,the evaporative cooler had been moved to granny &apos;s room and her door was kept shut so that the rest of the house stayed open though there was a question as to whether it was hotter or cooler that way,18,semcor.d164.s029.t008,rest,NOUN,rest%1:24:00::,rest#n#1,200
d164.s055,he &apos;s a right smart younger than the rest &apos;&apos;,8,semcor.d164.s055.t001,rest,NOUN,rest%1:24:00::,rest#n#1,200
d171.s090,even at this short distance they were only vague shapes setting up the machine gun on a small knoll so that it could fire above the heads of the rest of the patrol,27,semcor.d171.s090.t014,rest,NOUN,rest%1:24:00::,rest#n#1,200
d172.s063,in some tumor sections small spherical bodies possibly inclusion bodies littau and black 1952 stained more intensely than the rest of cytoplasm and probably contained more antigen,18,semcor.d172.s063.t013,rest,NOUN,rest%1:24:00::,rest#n#1,200
d178.s028,now when henri has completed four complete push-pull super-sets no. 1 the professor allows him about a five minute rest period before starting him on four complete push-pull super-sets no. 2,19,semcor.d178.s028.t011,rest,NOUN,rest%1:04:00::,rest#n#1,200
