sent_id,sent,word_num,un_id,lemma,pos_tag,sense_key,sense_number,hom_type,hom_id,bert_sent
d242.s023,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 20 th day of april in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-fifth,6,semcor.d242.s023.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,in testimony whereof i have hereunto set my hand and caused the seal of the state
d242.s032,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 11 th day of june in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s032.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,in testimony whereof i have hereunto set my hand and caused the seal of the state
d242.s039,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 5 th day of july in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s039.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,in testimony whereof i have hereunto set my hand and caused the seal of the state
d242.s049,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 23 d day of october in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s049.t000,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,in testimony whereof i have hereunto set my hand and caused the seal of the state
d242.s064,in testimony whereof i have hereunto set my hand and caused the seal of the state to be affixed this 21 st day of november in the year of our lord one thousand nine hundred and sixty-one and of independence the one hundred and eighty-sixth,6,semcor.d242.s064.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,in testimony whereof i have hereunto set my hand and caused the seal of the state
d243.s124,geely grunted and slid partly out and shayne &apos;s left arm snaked in around his neck to help him while he set himself solidly on the roadway and swung his right fist to the big gum-chewing jaw before geely could straighten up,21,semcor.d243.s124.t004,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,snaked in around his neck to help him while he set himself solidly on the roadway and swung his right
d251.s041,the joints are also reinforced on each side with small blocks set in resin-saturated fiberglas cloth and nailed,11,semcor.d251.s041.t001,set,VERB,set%2:35:02::,set#v#2,100,set#v#2#100,joints are also reinforced on each side with small blocks set in resin-saturated fiberglas cloth and nailed
d251.s103,i set it on the gator trailer,1,semcor.d251.s103.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,i set it on the gator trailer
d251.s106,again these blocks were set in resin-saturated glass cloth and nailed,4,semcor.d251.s106.t000,set,VERB,set%2:35:02::,set#v#2,100,set#v#2#100,again these blocks were set in resin-saturated glass cloth and nailed
d254.s044,physiologically people overeat because what dr. jolliffe calls the appestat &apos;&apos; is set too high,12,semcor.d254.s044.t002,set,VERB,set%2:30:02::,set#v#2,100,set#v#2#100,overeat because what dr. jolliffe calls the appestat &apos;&apos; is set too high
d257.s028,hubie &apos;s restaurant activities up in lorain ohio may preclude his return here until after oct. 20 date set for reopening the heilman restaurant on sunman restaurant on sunrise,18,semcor.d257.s028.t001,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,may preclude his return here until after oct. 20 date set for reopening the heilman restaurant on sunman restaurant on
d257.s032,mackey airline &apos;s new sunshine inn at bimini set to open some time this month according to hank johnson,8,semcor.d257.s032.t000,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,mackey airline &apos;s new sunshine inn at bimini set to open some time this month according to hank
d257.s076,when you stand up in public and take vows to strive to set an example before your children and to teach them the fundamentals of the christian faith you strive a little harder to uphold those vows &apos;&apos; explains the slender vice president of the young couples sunday school class,11,semcor.d257.s076.t003,set,VERB,set%2:32:01::,set#v#2,100,set#v#2#100,you stand up in public and take vows to strive to set an example before your children and to teach
d261.s012,that objective set the high stakes and drama of the vienna meeting,2,semcor.d261.s012.t000,set,VERB,set%2:30:01::,set#v#2,100,set#v#2#100,that objective set the high stakes and drama of the vienna meeting
d261.s025,the president had set for himself the task which he believed vital of awakening the u. s. and its allies to the hard and complex effort necessary to shift that balance,3,semcor.d261.s025.t000,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,the president had set for himself the task which he believed vital of
d266.s010,on the negative side of the balance sheet must be set some disappointment that the united states leadership has not been as much in evidence as hoped for,10,semcor.d266.s010.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,on the negative side of the balance sheet must be set some disappointment that the united states leadership has not
d275.s004,authenticated pieces of duncan phyfe furniture are uncommon although millions of american homes today display pieces patterned after the style trends he set 150 years ago,22,semcor.d275.s004.t003,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,homes today display pieces patterned after the style trends he set 150 years ago
d289.s092,by-passing the military junta which has ruled turkey since the overthrow of premier adnan menderes 17 months ago the army general staff led by gen. cedvet sunay had set a deadline for the parties to join in a national coalition government,28,semcor.d289.s092.t003,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,the army general staff led by gen. cedvet sunay had set a deadline for the parties to join in a
d290.s061,this french film set in italy is a summertime splurge in shock and terror all shot in lovely sunny scenery so breath-taking that at times you almost forget the horrors the movie is dealing with,3,semcor.d290.s061.t000,set,VERB,set%2:36:01::,set#v#2,100,set#v#2#100,this french film set in italy is a summertime splurge in shock and
d308.s008,that mistake she thought had cost her dearly these past few days and she wanted to avoid falling into any more of the traps that the mountain might set for her,28,semcor.d308.s008.t005,set,VERB,set%2:30:09::,set#v#2,100,set#v#2#100,into any more of the traps that the mountain might set for her
d310.s028,thus in the immemorial way in the way of the right hand that knows and the left that does not was the stage set for tragedy at bari,23,semcor.d310.s028.t001,set,VERB,set%2:30:09::,set#v#2,100,set#v#2#100,knows and the left that does not was the stage set for tragedy at bari
d312.s053,recounting personal observations of clearance work the councilman cited instances of inefficient use of equipment or supplies by poorly trained workers and urged that plow blades be set so they do not leave behind a thin layer of snow which eventually freezes,27,semcor.d312.s053.t004,set,VERB,set%2:30:02::,set#v#2,100,set#v#2#100,by poorly trained workers and urged that plow blades be set so they do not leave behind a thin layer
d313.s015,circuit judge paul r. cash did not set a date for sentencing,7,semcor.d313.s015.t000,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,circuit judge paul r. cash did not set a date for sentencing
d313.s040,houghton said 6 p. m. friday had been set for a canvass of all 480 homes in the subdivision which is located northeast of dequindre and 14 mile road east,8,semcor.d313.s040.t001,set,VERB,set%2:32:00::,set#v#2,100,set#v#2#100,houghton said 6 p. m. friday had been set for a canvass of all 480 homes in the
d316.s002,the statement also points to a classic paradox the more men turn toward god who is not only in himself the paradigm of all unity but also the only ground on which human unity can ultimately be established the more men splinter into groups and set themselves apart from one another,45,semcor.d316.s002.t005,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,ultimately be established the more men splinter into groups and set themselves apart from one another
d316.s018,yet the fact remains that such institutions do set men at odds with their fellows,8,semcor.d316.s018.t001,set,VERB,set%2:30:01::,set#v#2,100,set#v#2#100,yet the fact remains that such institutions do set men at odds with their fellows
d319.s097,they both possess near classic stances dug in firmly arms high set for fierce swings,11,semcor.d319.s097.t001,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,both possess near classic stances dug in firmly arms high set for fierce swings
d328.s098,the way a house is set on its lot can therefore influence how much cooling you &apos;re going to need,5,semcor.d328.s098.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,the way a house is set on its lot can therefore influence how much cooling
d333.s119,henrietta looked down at her bouquet still lively with its color and scent and set her feet on their journey &apos;s way again leaving the village street and crossing the first field folly dancing ahead of her,14,semcor.d333.s119.t001,set,VERB,set%2:30:01::,set#v#2,100,set#v#2#100,her bouquet still lively with its color and scent and set her feet on their journey &apos;s way again leaving
d335.s029,this was a man of incredible criminality of a criminality effectively without limits a man apparently foreign to the very experience of love without mercy or pity a man in whose entourage none was ever safe a man whose hand was set against all that could not be useful to him at the moment a man who was most dangerous of all to those who were his closest collaborators in crime &apos;&apos;,41,semcor.d335.s029.t002,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,entourage none was ever safe a man whose hand was set against all that could not be useful to him
d335.s065,rouben ter-arutunian in his stage settings often uses the scrim curtain behind which mr. cole has placed couples or groups who sing and set the mood for the scenes which are to follow,23,semcor.d335.s065.t003,set,VERB,set%2:30:09::,set#v#2,100,set#v#2#100,mr. cole has placed couples or groups who sing and set the mood for the scenes which are to follow
d336.s103,morgan filled the fire box with wood again then started supper and set the table,12,semcor.d336.s103.t002,set,VERB,set%2:30:09::,set#v#2,100,set#v#2#100,the fire box with wood again then started supper and set the table
d340.s082,he set roberts &apos; suitcase near the front door went outside and walked back to the garage,1,semcor.d340.s082.t000,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,he set roberts &apos; suitcase near the front door went outside
d341.s007,we the subscribers do agree that as soon as a convenient number of persons have subscribed to this or a similar writing we will present a petition to the hon &apos; ble general court of the commonwealth of massachusetts praying for an act incorporating into a body politic the subscribers to such writing with liberty to build such a bridge and a right to demand a toll equal to that received at malden bridge and on like terms and if such an act shall be obtained then we severally agree each with the others that we will hold in the said bridge the several shares set against our respective names the whole into two hundred shares being divided and that we will pay such sums of money at such times and in such manners as by the said proposed corporation shall be directed and required &apos;&apos;,105,semcor.d341.s007.t011,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,we will hold in the said bridge the several shares set against our respective names the whole into two hundred
d342.s033,i believe it is an area in which professional planners have failed to set adequate guide posts and yet they cannot ignore this problem because it concerns the implementation of nearly all the planning programs they have devised,13,semcor.d342.s033.t003,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,is an area in which professional planners have failed to set adequate guide posts and yet they cannot ignore this
d345.s057,now to him who is able to preserve you without sin and to set you before the presence of his glory without blemish in gladness to the only god our savior through jesus christ our lord belong glory and majesty dominion and authority before all time and now and forever,13,semcor.d345.s057.t002,set,VERB,set%2:35:00::,set#v#2,100,set#v#2#100,who is able to preserve you without sin and to set you before the presence of his glory without blemish
d345.s126,god has already set the day when you will be in his hands,3,semcor.d345.s126.t000,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,god has already set the day when you will be in his hands
d348.s066,indeed it is in the field of transportation that congress has most frequently granted employers exemption from the anti-trust laws for example the organization of steamship conferences to set freight rates and the encouragement of railroads to seek mergers,28,semcor.d348.s066.t002,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,anti-trust laws for example the organization of steamship conferences to set freight rates and the encouragement of railroads to seek
d348.s067,at the very moment that every attempt is being made to take management out from under the irrationality of anti-trust legislation a drive is on to abolish collective bargaining under the guise of extending the anti-monopoly laws to unions who want no more than to continue to set wages in the same way that ship operators set freight rates,47,semcor.d348.s067.t007,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,to unions who want no more than to continue to set wages in the same way that ship operators set
d348.s067,at the very moment that every attempt is being made to take management out from under the irrationality of anti-trust legislation a drive is on to abolish collective bargaining under the guise of extending the anti-monopoly laws to unions who want no more than to continue to set wages in the same way that ship operators set freight rates,56,semcor.d348.s067.t008,set,VERB,set%2:31:04::,set#v#2,100,set#v#2#100,to set wages in the same way that ship operators set freight rates
d000.s017,when did you last compare your present premium costs with the costs of insurance from other sources,3,semcor.d000.s017.t000,last,ADV,last%4:02:00::,last#a#4,100,last#a#4#100,when did you last compare your present premium costs with the costs of
d008.s049,that &apos;s the last one we did,3,semcor.d008.s049.t000,last,ADV,last%4:02:00::,last#a#4,100,last#a#4#100,that &apos;s the last one we did
d079.s146,he looked at each of them in turn brannon last of all,8,semcor.d079.s146.t003,last,ADV,last%4:02:01::,last#a#4,100,last#a#4#100,he looked at each of them in turn brannon last of all
d134.s029,it was only hours since i had last seen them but they had changed and i had changed,7,semcor.d134.s029.t002,last,ADV,last%4:02:00::,last#a#4,100,last#a#4#100,it was only hours since i had last seen them but they had changed and i had
d155.s067,pelham pointed out that georgia voters last november rejected a constitutional amendment to allow legislators to vote on pay raises for future legislature sessions,5,semcor.d155.s067.t004,last,ADV,last%4:02:00::,last#a#4,100,last#a#4#100,pelham pointed out that georgia voters last november rejected a constitutional amendment to allow legislators
