sent_id,sent,word_num,un_id,lemma,pos_tag,sense_key,sense_number,hom_type
d041.s009,it was a rough long ride through the mud and pot holes,4,semcor.d041.s009.t002,long,ADJ,long%3:00:02::,long#a#3,100
d042.s019,hoijer &apos;s athabascan and my yokuts share 71 identical meanings with allowance for several near synonyms like stomach belly big large long far many much die dead say speak,21,semcor.d042.s019.t014,long,ADJ,long%3:00:01::,long#a#3,100
d042.s056,they isolate out easily naturally and unambiguously from the continuum of nature and existence and they should be given priority in the basic list as long as they continue to show these qualities,25,semcor.d042.s056.t012,long,ADJ,long%3:00:02::,long#a#3,100
d043.s031,and it is clearly argued by lord percy of newcastle in his remarkable long essay the heresy of democracy and in a more general way by voegelin in his new science of politics that this same rousseauan idea descending through european democracy is the source of marx &apos;s theory of the dictatorship of the proletariat,12,semcor.d043.s031.t005,long,ADJ,long%3:00:01::,long#a#3,100
d043.s033,the long road that had taken liberals in this country into the social religion of democracy into a worship of man led logically to the marxist dream of a classless society under a socialist state,1,semcor.d043.s033.t000,long,ADJ,long%3:00:02::,long#a#3,100
d044.s032,basic long line communications in alaska are now provided through federal facilities operated by the army air force and federal aviation agency,1,semcor.d044.s032.t001,long,ADJ,long%3:00:01::,long#a#3,100
d044.s052,another example is the recent cancellation of the f-108 a long range interceptor with a speed three times as great as the speed of sound which was designed for use against manned bombers in the period of the mid 1960 &apos;s,10,semcor.d044.s052.t004,long,ADJ,long%3:00:01::,long#a#3,100
d044.s068,one of the important and difficult decisions which had to be made in this budget concerned the role of the b-70 a long range supersonic bomber,22,semcor.d044.s068.t007,long,ADJ,long%3:00:01::,long#a#3,100
d050.s003,i &apos;m well aware that you &apos;ve got a pedigree as long as my leg and that i do n&apos;t amount to anything,11,semcor.d050.s003.t005,long,ADJ,long%3:00:02::,long#a#3,100
d051.s024,i have no picture in my mind of the garden as a whole that i could not see but certain aspects of certain corners linger in the memory wind-blown frost-bitten white chrysanthemums beneath a window with their brittle brown leaves and their sharp scent of november ripe pears lying in long grass to be turned over by a dusty slippered foot cautiously lest bees still worked in the ragged brown edged holes hot colored verbenas in the corner between the dining-room wall and the side porch where we passed on our way to the pump with the half gourd tied to it as a cup by my grandmother for our childish pleasure in drinking from it,50,semcor.d051.s024.t025,long,ADJ,long%3:00:01::,long#a#3,100
d051.s031,i have more than once sat cross-legged in the grass through a long summer morning and watched without touching while a poppy bud higher than my head slowly but visibly pushed off its cap unfolded and shook out like a banner in the sun its flaming vermilion petals,12,semcor.d051.s031.t004,long,ADJ,long%3:00:02::,long#a#3,100
d051.s036,fuzzy caterpillars snails with their sensitive horns struggling grasshoppers held by their long hind legs and commanded to spit tobacco spit &apos;&apos;,12,semcor.d051.s036.t008,long,ADJ,long%3:00:01::,long#a#3,100
d052.s054,such a comparison reminds us that in employing low characters in his works faulkner is recording actuality in the south and moreover is following a long established literary precedent,25,semcor.d052.s054.t012,long,ADJ,long%3:00:02::,long#a#3,100
d053.s004,even if there are no livestock the farmer cannot leave the farm for long periods particularly during the growing season,13,semcor.d053.s004.t006,long,ADJ,long%3:00:02::,long#a#3,100
d053.s009,frequently he must work long hours in the hot sun or cold rain,4,semcor.d053.s009.t002,long,ADJ,long%3:00:02::,long#a#3,100
d056.s103,animals eat only from one side so the fence-line bunk must be twice as long as the mechanical bunk,14,semcor.d056.s103.t008,long,ADJ,long%3:00:01::,long#a#3,100
d058.s096,how long to stay in your shelter,1,semcor.d058.s096.t000,long,ADJ,long%3:00:02::,long#a#3,100
d058.s098,how long you may stay outside,1,semcor.d058.s098.t000,long,ADJ,long%3:00:02::,long#a#3,100
d062.s043,i had a long talk with him,3,semcor.d062.s043.t001,long,ADJ,long%3:00:02::,long#a#3,100
d062.s044,we went into mrs. monmouth &apos;s library which had low bookshelves all along the walls and above them a modigliani portrait a jackson pollock twelve feet long and a gorgeous miro with a yellow background that looked like an inscription from a martian tomb,23,semcor.d062.s044.t012,long,ADJ,long%3:00:01::,long#a#3,100
d063.s000,the long and ever increasing column of sportsmen is now moving into a new era,1,semcor.d063.s000.t000,long,ADJ,long%3:00:01::,long#a#3,100
d063.s050,we saw similar displays in the other three campgrounds in this 70 mile long national seashore recreation area,13,semcor.d063.s050.t008,long,ADJ,long%3:00:01::,long#a#3,100
d064.s002,as a boy roy mason began the long process of extracting the goodness of the out-of-doors its tang of weather its change of seasons its variable moods,6,semcor.d064.s002.t002,long,ADJ,long%3:00:02::,long#a#3,100
d064.s007,like many others he had to work hard long hours in a struggling family business which though it was allied to art of a kind the design and production of engraved seals bore no relation to the painting of pictures,8,semcor.d064.s007.t003,long,ADJ,long%3:00:02::,long#a#3,100
d064.s031,out of long experience i have found that incidental figures and other objects like trees logs and bushes can be traced from the original sketch and moved about in the major areas on the final sheet until they occupy the right position which i call &apos; clicking &apos;,2,semcor.d064.s031.t000,long,ADJ,long%3:00:02::,long#a#3,100
d067.s059,after all the henpecked husband with his shrewish wife is a comic figure of long standing in literature and on the stage as dr. schillinger points out,13,semcor.d067.s059.t008,long,ADJ,long%3:00:02::,long#a#3,100
d068.s062,gracias &apos;&apos; i hollered my first long swallow filling me with confidence and immediately doubling the size of my spanish vocabulary,6,semcor.d068.s062.t002,long,ADJ,long%3:00:02::,long#a#3,100
d068.s086,a long time,1,semcor.d068.s086.t000,long,ADJ,long%3:00:02::,long#a#3,100
d068.s092,beyond it the gray road stretched a long long way,7,semcor.d068.s092.t003,long,ADJ,long%3:00:01::,long#a#3,100
d068.s092,beyond it the gray road stretched a long long way,8,semcor.d068.s092.t004,long,ADJ,long%3:00:01::,long#a#3,100
d069.s013,an ordinary sea wave is rarely more than a few hundred feet long from crest to crest no longer than 320 feet in the atlantic or 1000 feet in the pacific,11,semcor.d069.s013.t008,long,ADJ,long%3:00:01::,long#a#3,100
d069.s013,an ordinary sea wave is rarely more than a few hundred feet long from crest to crest no longer than 320 feet in the atlantic or 1000 feet in the pacific,17,semcor.d069.s013.t012,long,ADJ,long%3:00:01::,long#a#3,100
d075.s035,to a much less full extent the hebephrenic person &apos;s belching or flatus has a comparable communicative function in working with these patients the therapist eventually gets to do some at least private mulling over of the possible meaning of a belch or the passage of flatus not only because he is reduced to this for lack of anything else to analyze but also because he learns that even these animal like sounds constitute forms of communication in which from time to time quite different things are being said long before the patient can become sufficiently aware of these as distinct feelings and concepts to say them in words,85,semcor.d075.s035.t044,long,ADJ,long%3:00:02::,long#a#3,100
d076.s150,hoag pushed open the door at the far end of the long dark room muller was faintly silhouetted against the window the rifle still raised he stood with his feet apart on a kitchen table he had dragged to the sill,11,semcor.d076.s150.t006,long,ADJ,long%3:00:01::,long#a#3,100
d077.s080,well &apos;&apos; he explained s&apos;posin you was a nester swingin &apos; the long rope,12,semcor.d077.s080.t004,long,ADJ,long%3:00:01::,long#a#3,100
d079.s129,it should n&apos;t be long &apos;&apos;,4,semcor.d079.s129.t001,long,ADJ,long%3:00:02::,long#a#3,100
d079.s130,it seemed long at least to tom brannon,2,semcor.d079.s130.t001,long,ADJ,long%3:00:02::,long#a#3,100
d083.s043,in his wake came the district traffic supervisor and the cream of the telegraphic profession ten of boston &apos;s best chosen for their long experience and thorough knowledge of golf,21,semcor.d083.s043.t010,long,ADJ,long%3:00:02::,long#a#3,100
d083.s055,these must have been for local calls strictly as in may 1900 the only long distance telephone &apos;&apos; in town was transferred from c. b. carleton &apos;s to young &apos;s shoe store,13,semcor.d083.s055.t003,long,ADJ,long%3:00:01::,long#a#3,100
d085.s013,he felt close to mary having spent so long concentrating on the beginning of her journey,8,semcor.d085.s013.t005,long,ADJ,long%3:00:02::,long#a#3,100
d086.s001,first is the long and still somewhat obscure process of preparation planning and discussion,3,semcor.d086.s001.t002,long,ADJ,long%3:00:01::,long#a#3,100
d086.s013,there followed a long and sometimes bitter discussion of the feasibility of elections for the fall of 1957 in which it appears that the minister of the interior took the most pessimistic view and that the istiqlal was something less than enthusiastic,3,semcor.d086.s013.t001,long,ADJ,long%3:00:02::,long#a#3,100
d087.s020,we all seek the same thing through different ways an end to this long night of two thousand years of darkness and unspeakable abuses which will continue to plague us until the star of david flies over zion &apos;&apos;,13,semcor.d087.s020.t007,long,ADJ,long%3:00:02::,long#a#3,100
d090.s049,the long settled areas of states like virginia and south carolina developed the ante-bellum culture to its richest flowering and there the memory is more precious and the consciousness of loss the greater,1,semcor.d090.s049.t000,long,ADJ,long%3:00:02::,long#a#3,100
d091.s102,he observed the florentine vase in the hall the renoir painting in the library as well as the long shelves of well-bound volumes the pattern of the oriental rug the delicate cut-glass chandelier,18,semcor.d091.s102.t007,long,ADJ,long%3:00:01::,long#a#3,100
d096.s000,i would not want to be one of those writers who begin each morning by exclaiming o gogol o chekhov o thackeray and dickens what would you have made of a bomb shelter ornamented with four plaster-of-paris ducks a birdbath and three composition gnomes with long beards and red mobcaps &apos;&apos;,44,semcor.d096.s000.t021,long,ADJ,long%3:00:01::,long#a#3,100
d096.s012,these trumps were more touching than they were anything else and seemed to imply that the nights were long her children ungrateful and her marriage bewilderingly threadbare,18,semcor.d096.s012.t008,long,ADJ,long%3:00:02::,long#a#3,100
d097.s200,how long buddy &apos;&apos;,1,semcor.d097.s200.t000,long,ADJ,long%3:00:02::,long#a#3,100
d099.s050,as he neared the square a round figure muffled in a long black cape whisked by,11,semcor.d099.s050.t005,long,ADJ,long%3:00:01::,long#a#3,100
d099.s061,how long my lord,1,semcor.d099.s061.t000,long,ADJ,long%3:00:02::,long#a#3,100
d101.s076,the sets are remarkably elaborate for a road-show that does n&apos;t pause long in any one place and they are devised so that they shift with a minimum of interruption or obtrusiveness,12,semcor.d101.s076.t006,long,ADJ,long%3:00:02::,long#a#3,100
d103.s087,behind them shambled a long column of weak tattered men,4,semcor.d103.s087.t001,long,ADJ,long%3:00:01::,long#a#3,100
d105.s036,the long retention period and the complete mixing concept prevented rapid changes in either the mixed liquor or in the effluent,1,semcor.d105.s036.t000,long,ADJ,long%3:00:02::,long#a#3,100
d107.s029,these vehicles with large sensitive areas have collected data for long enough times to give reliable impact rates for the periods of exposure,10,semcor.d107.s029.t006,long,ADJ,long%3:00:02::,long#a#3,100
d108.s071,he had long black hairs on his wrist,2,semcor.d108.s071.t001,long,ADJ,long%3:00:01::,long#a#3,100
d110.s081,they went to the flea market expecting to find the treasures of europe and found instead a duplication of that long double row of booths in tours,19,semcor.d110.s081.t009,long,ADJ,long%3:00:01::,long#a#3,100
d111.s005,this was an enormously long building whose walls were made of rocks some of them brought home from every continent during his six years as an oil geologist,4,semcor.d111.s005.t002,long,ADJ,long%3:00:01::,long#a#3,100
d113.s036,for example the marked susceptibility of the monkey to respiratory infection might be related to its delicate long alveolar ducts and short large bronchioles situated within a parenchyma entirely lacking in protective supportive tissue barriers such as those found in types 1 and 3,15,semcor.d113.s036.t008,long,ADJ,long%3:00:01::,long#a#3,100
d114.s043,what makes this long and diverse tradition essentially one is that those who have belonged to it have been profoundly in earnest about being modern men in a distinctively modern world,3,semcor.d114.s043.t001,long,ADJ,long%3:00:02::,long#a#3,100
d115.s041,any of the antithyroid drugs of either type if given in large enough doses for a long period of time will cause goitre owing to inhibition of thyroid hormone synthesis with production of hypothyroidism,16,semcor.d115.s041.t007,long,ADJ,long%3:00:02::,long#a#3,100
d116.s057,a man with so big and so staggeringly developed a torso and such long and powerful arms is expected to stand taller than five feet five,13,semcor.d116.s057.t007,long,ADJ,long%3:00:02::,long#a#3,100
d116.s133,he flew about the place making these adjustments and it was obvious that what he was doing was the fruit of long experience,21,semcor.d116.s133.t009,long,ADJ,long%3:00:02::,long#a#3,100
d117.s003,anita put out the remaining candles with a long snuffer and in the smell of scented candlewick the comforting awareness of each other &apos;s bodies the retained pattern of dancers and guests remembered their minds grew numb and then empty of images,7,semcor.d117.s003.t003,long,ADJ,long%3:00:01::,long#a#3,100
d117.s051,new york lay bleaching in the summer sun and the morning fish hawk flying in the heated air saw below him the long triangular wedge of manhattan island,20,semcor.d117.s051.t011,long,ADJ,long%3:00:01::,long#a#3,100
d117.s108,he drove sensual patterns off carefully shaving his long upper lip,8,semcor.d117.s108.t005,long,ADJ,long%3:00:01::,long#a#3,100
d118.s076,it lacks pollen baskets and possesses only a large number of long branched hairs on its legs on which the pollen grains will collect,10,semcor.d118.s076.t006,long,ADJ,long%3:00:01::,long#a#3,100
d119.s032,just long enough to make you feel important,1,semcor.d119.s032.t001,long,ADJ,long%3:00:02::,long#a#3,100
d119.s046,but they kept on clapping for a long long time,7,semcor.d119.s046.t001,long,ADJ,long%3:00:02::,long#a#3,100
d119.s046,but they kept on clapping for a long long time,8,semcor.d119.s046.t002,long,ADJ,long%3:00:02::,long#a#3,100
d119.s143,usually this was done when attention was diverted by someone else &apos;s long boring story,12,semcor.d119.s143.t005,long,ADJ,long%3:00:02::,long#a#3,100
d121.s072,he was shaking with anger his breath coming in long painful gasps,9,semcor.d121.s072.t004,long,ADJ,long%3:00:02::,long#a#3,100
d121.s080,and he was handsome despite the long thin scar that slanted across his cheek,6,semcor.d121.s080.t002,long,ADJ,long%3:00:01::,long#a#3,100
d122.s066,the steeple leaned backward while the church advanced like a headless creature in a long shapeless coat,14,semcor.d122.s066.t007,long,ADJ,long%3:00:01::,long#a#3,100
d122.s084,in the delaware river three long islands were overgrown with greening trees and underbrush,4,semcor.d122.s084.t002,long,ADJ,long%3:00:01::,long#a#3,100
d122.s110,at the end of a shaft of light the pews appeared to be broad stairs in a long dungeon,15,semcor.d122.s110.t007,long,ADJ,long%3:00:01::,long#a#3,100
d122.s115,the mouth was thin lipped and wide the long cleft in the upper lip like a slide,8,semcor.d122.s115.t005,long,ADJ,long%3:00:01::,long#a#3,100
d123.s034,the photochemical reaction cells consisted of 10 mm. i.d. pyrex tubing 5.5 cm. long diffraction effects being minimized by the fact that the light passed through only liquid glass interfaces and not gas glass interfaces,12,semcor.d123.s034.t007,long,ADJ,long%3:00:01::,long#a#3,100
d124.s067,in southern europe between the israeli republics and the icelandic speaking peoples of northern europe was a thin but long stretch of territory called march,18,semcor.d124.s067.t010,long,ADJ,long%3:00:01::,long#a#3,100
d125.s054,the air force&apos;s and the game &apos;s final play was a long pass by quarterback bob mcnaughton which gannon intercepted on his own 44 and returned 22 yards,10,semcor.d125.s054.t005,long,ADJ,long%3:00:01::,long#a#3,100
d126.s024,then robinson slammed a long double to left center to score both runners,4,semcor.d126.s024.t003,long,ADJ,long%3:00:01::,long#a#3,100
d127.s010,an early film by a competitor of the wizard of menlo park simply showed a long kiss performed by two actors of the contemporary stage,14,semcor.d127.s010.t007,long,ADJ,long%3:00:02::,long#a#3,100
d129.s001,laurence m . klauber put length at maturity at two thirds the ultimate length for some rattlesnakes and charles c . carpenter &apos;s data on michigan garter and ribbon snakes thamnophis show that the smallest gravid females are more than half as long as the biggest adults,35,semcor.d129.s001.t021,long,ADJ,long%3:00:01::,long#a#3,100
d129.s044,he reasons that as anacondas 30 feet long are often found some might be 38 and occasional monstrous freaks &apos;&apos; over 50,7,semcor.d129.s044.t004,long,ADJ,long%3:00:01::,long#a#3,100
d130.s106,everyone is ambivalent about his profession if he has practised it long enough but there were still moments when he loved the stage and all those unseen people out there who might cheer you or boo you but that was largely though not entirely up to you,11,semcor.d130.s106.t003,long,ADJ,long%3:00:02::,long#a#3,100
d134.s027,in my recollection there was a long interval between the death of the officer and the appearance of the first of the retreating redcoats and in that interval the dust cloud over the road seems to hover indefinitely,6,semcor.d134.s027.t002,long,ADJ,long%3:00:02::,long#a#3,100
d134.s065,cousin joshua dover decided to remain with the reverend and poor isaac pitt until life passed away and he was hurt so badly he did not seem for long in this world,24,semcor.d134.s065.t014,long,ADJ,long%3:00:02::,long#a#3,100
d137.s080,the report culminating a year long study of the adc program in cook county by a new york city welfare consulting firm listed 10 long range recommendations designed to reduce the soaring adc case load,5,semcor.d137.s080.t003,long,ADJ,long%3:00:02::,long#a#3,100
d138.s078,a large picnic area or camping development is most efficient in shape as a square or rectangle several hundred feet in width in preference to a long narrow area less than one hundred feet wide,25,semcor.d138.s078.t013,long,ADJ,long%3:00:01::,long#a#3,100
d141.s006,her legs hung down long and thin as she sat on the high stool,4,semcor.d141.s006.t003,long,ADJ,long%3:00:01::,long#a#3,100
d141.s070,he gave mr. jack a real going over he brushed his shoulders and his back and his collar with long firm strokes,17,semcor.d141.s070.t008,long,ADJ,long%3:00:01::,long#a#3,100
d141.s087,each brass handle and hinge shone for his reward and he knew how to get at the dust in the china flowers and how to take down the long glass drops which hung from the chandelier,26,semcor.d141.s087.t011,long,ADJ,long%3:00:01::,long#a#3,100
d143.s002,after gagarin became the greatest man in the world for a nation that does not believe in the cult of personality or in careerism moreland wrote me a letter in which he said i am not interested in how long a bee can live in a vacuum or how far it can fly,36,semcor.d143.s002.t015,long,ADJ,long%3:00:02::,long#a#3,100
d143.s051,there was a long silence,3,semcor.d143.s051.t001,long,ADJ,long%3:00:02::,long#a#3,100
d144.s023,noticing russell &apos;s horse in front of the long log building he assumed his friend had slipped inside and would be able to put up a good fight so he began working his way down the ditch to join him,8,semcor.d144.s023.t003,long,ADJ,long%3:00:01::,long#a#3,100
d144.s047,litigants and witnesses were put to the expense and inconvenience of going long distances to transact business public money spent justice delayed nothing accomplished and the whole distribution of justice in this county seems to be an absolute farce &apos;&apos;,12,semcor.d144.s047.t006,long,ADJ,long%3:00:01::,long#a#3,100
d144.s078,if not how long to order and what is the price &apos;&apos;,2,semcor.d144.s078.t001,long,ADJ,long%3:00:02::,long#a#3,100
d149.s014,it had just suffered a calamity the final crisis in a long series of calamities,11,semcor.d149.s014.t005,long,ADJ,long%3:00:02::,long#a#3,100
d150.s053,that glory craved for so long was now forbidden to him,5,semcor.d150.s053.t003,long,ADJ,long%3:00:02::,long#a#3,100
d151.s044,solar activities could presumably bring long periods of flood or drought,5,semcor.d151.s044.t004,long,ADJ,long%3:00:02::,long#a#3,100
d152.s068,it follows that any effective policy toward the underdeveloped countries must have a realistically long working horizon,14,semcor.d152.s068.t007,long,ADJ,long%3:00:02::,long#a#3,100
d153.s029,the doctor was wearing a long new england greatcoat hardly necessary in the june weather but a garment which proved well adapted to the sequestration of hens,5,semcor.d153.s029.t002,long,ADJ,long%3:00:01::,long#a#3,100
d155.s074,after a long hot controversy miller county has a new school superintendent elected as a policeman put it in the coolest election i ever saw in this county &apos;&apos;,2,semcor.d155.s074.t000,long,ADJ,long%3:00:02::,long#a#3,100
d159.s067,was a question that had to be asked long before they saw paree,8,semcor.d159.s067.t003,long,ADJ,long%3:00:02::,long#a#3,100
d160.s040,greasy soils which are typified by hydrocarbons and fats esters of glycerol with long chain organic acids,13,semcor.d160.s040.t007,long,ADJ,long%3:00:01::,long#a#3,100
d161.s072,suppose the lines in front of the movie houses were too long and we could n&apos;t get in,10,semcor.d161.s072.t005,long,ADJ,long%3:00:01::,long#a#3,100
d164.s048,almost immediately she was ashamed of herself for feeling vain at such a time in such a place and she tossed back her long yellow hair smiling shyly as she entered the room,22,semcor.d164.s048.t008,long,ADJ,long%3:00:01::,long#a#3,100
d165.s019,as we think of the long and excruciating pain it must have suffered we are very likely to say it was a bad thing that the little animal should suffer so &apos;&apos;,4,semcor.d165.s019.t001,long,ADJ,long%3:00:02::,long#a#3,100
d175.s104,suddenly he was interrupted in his daydreaming by a warm wetness lapping against his chin and his eyes opened wide and long at the sight of a goat &apos;s claret tongue feasting against the salt taste of him,21,semcor.d175.s104.t010,long,ADJ,long%3:00:02::,long#a#3,100
d176.s029,later the hurok office made it dec. 8 thru 17 a nice long booking for the full repertory,12,semcor.d176.s029.t006,long,ADJ,long%3:00:02::,long#a#3,100
d177.s012,you may stay as long as you wish of course but if arranging for the care of the girls must take time into account i think a day or two should be enough to finish our business in &apos;&apos;,4,semcor.d177.s012.t001,long,ADJ,long%3:00:02::,long#a#3,100
d177.s047,here too she talked low quirking her head at one or another of the places most often at izaak &apos;s armchair which faced her across the long table,26,semcor.d177.s047.t012,long,ADJ,long%3:00:01::,long#a#3,100
d177.s059,abel sat and regarded the farm country which spreading out from both sides of the road rolled greenly up to where the silent white houses and long barns and silos nested into the tilled fields,25,semcor.d177.s059.t013,long,ADJ,long%3:00:01::,long#a#3,100
d177.s071,abel moved and adjusted his long legs,5,semcor.d177.s071.t003,long,ADJ,long%3:00:01::,long#a#3,100
